title,genres,year,rating,language,clean_title,source,movieId
Jalan yang Jauh Jangan Lupa Pulang,drama,2023,0.0,Mixed,jalan yang jauh jangan lupa pulang,film_indonesia_2015_2025.csv,3953.0
Dear David,"drama, romance",2023,0.0,Mixed,dear david,film_indonesia_2015_2025.csv,3954.0
Sayap-Sayap Patah,"drama, romance, action",2022,0.0,Mixed,sayapsayap patah,film_indonesia_2015_2025.csv,3955.0
Ku Kira Kau Rumah,"drama, romance",2022,0.0,Mixed,ku kira kau rumah,film_indonesia_2015_2025.csv,3956.0
172 Days,"drama, romance",2023,0.0,Mixed,172 days,film_indonesia_2015_2025.csv,3957.0
1 Kakak 7 Ponakan,"drama, family",2025,0.0,Mixed,1 kakak 7 ponakan,film_indonesia_2015_2025.csv,3958.0
Ancika: Dia yang Bersamamu 1995,"romance, drama",2024,0.0,Mixed,ancika dia yang bersamamu 1995,film_indonesia_2015_2025.csv,3959.0
Ipar Adalah Maut,"romance, drama",2024,0.0,Mixed,ipar adalah maut,film_indonesia_2015_2025.csv,3960.0
The Architecture of Love (TAOL),"romance, drama",2024,0.0,Mixed,the architecture of love taol,film_indonesia_2015_2025.csv,3961.0
Ada Apa Dengan Cinta 2,"romance, drama",2016,0.0,Mixed,ada apa dengan cinta 2,film_indonesia_2015_2025.csv,3962.0
Akhirat: A Love Story,"romance, fantasy",2021,0.0,Mixed,akhirat a love story,film_indonesia_2015_2025.csv,3963.0
Jatuh Cinta Seperti di Film-Film,"romance, comedy, drama",2023,0.0,Mixed,jatuh cinta seperti di filmfilm,film_indonesia_2015_2025.csv,3964.0
Tenggelamnya Kapal Van der Wijck,"romance, drama",2013,0.0,Mixed,tenggelamnya kapal van der wijck,film_indonesia_2015_2025.csv,3965.0
Bismillah Kunikahi Suamimu,"romance, drama",2023,0.0,Mixed,bismillah kunikahi suamimu,film_indonesia_2015_2025.csv,3966.0
Kang Mak (From Pee Mak),"comedy, horror, romance",2024,0.0,Mixed,kang mak from pee mak,film_indonesia_2015_2025.csv,3967.0
"Imperfect: Karier, Cinta & Timbangan","comedy, drama, romance",2019,0.0,Mixed,imperfect karier cinta  timbangan,film_indonesia_2015_2025.csv,3968.0
Gara-Gara Warisan,"comedy, drama",2022,0.0,Mixed,garagara warisan,film_indonesia_2015_2025.csv,3969.0
Onde Mande!,"comedy, drama",2023,0.0,Mixed,onde mande,film_indonesia_2015_2025.csv,3970.0
Vina: Sebelum 7 Hari,"horror, crime",2024,0.0,Mixed,vina sebelum 7 hari,film_indonesia_2015_2025.csv,3971.0
Perempuan Tanah Jahanam,"horror, thriller",2019,0.0,Mixed,perempuan tanah jahanam,film_indonesia_2015_2025.csv,3972.0
Pemukiman Setan,"horror, action",2024,0.0,Mixed,pemukiman setan,film_indonesia_2015_2025.csv,3973.0
Mencuri Raden Saleh,"action, crime",2022,0.0,Mixed,mencuri raden saleh,film_indonesia_2015_2025.csv,3974.0
Wiro Sableng,"action, comedy",2018,0.0,Mixed,wiro sableng,film_indonesia_2015_2025.csv,3975.0
Foxtrot Six,"action, sci-fi",2019,0.0,Mixed,foxtrot six,film_indonesia_2015_2025.csv,3976.0
Ben & Jody,"action, drama",2022,0.0,Mixed,ben  jody,film_indonesia_2015_2025.csv,3977.0
Satria Dewa: Gatotkaca,"action, sci-fi",2022,0.0,Mixed,satria dewa gatotkaca,film_indonesia_2015_2025.csv,3978.0
Marlina si Pembunuh dalam Empat Babak,"thriller, action",2017,0.0,Mixed,marlina si pembunuh dalam empat babak,film_indonesia_2015_2025.csv,3979.0
Beetlejuice Beetlejuice,"comedy,fantasy,horror",2024,6.999,Mixed,beetlejuice beetlejuice,IMDB_Movies_Data.csv,3980.0
Dungeons & Dragons: Honor Among Thieves,"adventure,fantasy,comedy",2023,7.3,Mixed,dungeons  dragons honor among thieves,IMDB_Movies_Data.csv,3981.0
