title,genres,year,clean_title,source
Beetlejuice Beetlejuice,"comedy,fantasy,horror",2024,beetlejuice beetlejuice,IMDB
Dungeons & Dragons: Honor Among Thieves,"adventure,fantasy,comedy",2023,dungeons  dragons honor among thieves,IMDB
Mission: Impossible - Rogue Nation,"action,adventure",2015,mission impossible  rogue nation,IMDB
Subservience,"science fiction,horror,thriller",2024,subservience,IMDB
Demon City,"action,crime,fantasy,thriller",2025,demon city,IMDB
Pacific Rim,"action,science fiction,adventure",2013,pacific rim,IMDB
Through My Window,"romance,drama,comedy",2022,through my window,IMDB
Last Bullet,"action,crime,thriller,drama",2025,last bullet,IMDB
Despicable Me,"family,comedy,animation",2010,despicable me,IMDB
Rush Hour,"action,comedy,crime",1998,rush hour,IMDB
Songs from the Hole,"documentary,drama,music",2024,songs from the hole,IMDB
The Life List,"romance,comedy,drama",2025,the life list,IMDB
The Karate Kid,"action,adventure,drama,family",2010,the karate kid,IMDB
I'm Still a Superstar,"documentary,music",2025,im still a superstar,IMDB
The Departed,"drama,thriller,crime",2006,the departed,IMDB
Mission: Impossible III,"adventure,action,thriller",2006,mission impossible iii,IMDB
Mission: Impossible II,"adventure,action,thriller",2000,mission impossible ii,IMDB
Talk to Me,horror,2023,talk to me,IMDB
Miller's Girl,"thriller,comedy,drama",2024,millers girl,IMDB
Purple Hearts,"romance,drama",2022,purple hearts,IMDB
Back in Action,"action,comedy",2025,back in action,IMDB
Carry-On,"thriller,action",2024,carryon,IMDB
Bad Influence,"thriller,drama,romance",2025,bad influence,IMDB
Penguins of Madagascar,"family,animation,adventure,comedy",2014,penguins of madagascar,IMDB
"Miraculous: Ladybug & Cat Noir, The Movie","animation,fantasy,action,romance,family",2023,miraculous ladybug  cat noir the movie,IMDB
My Hero Academia: You're Next,"animation,action,adventure,science fiction",2024,my hero academia youre next,IMDB
Drawing Closer,"romance,drama",2024,drawing closer,IMDB
Sing: Thriller,"animation,family,comedy,music",2024,sing thriller,IMDB
Polar,"action,crime,drama",2019,polar,IMDB
After We Collided,"romance,drama",2020,after we collided,IMDB
Despicable Me 2,"animation,comedy,family",2013,despicable me 2,IMDB
Den of Thieves 2: Pantera,"action,crime,thriller",2025,den of thieves 2 pantera,IMDB
After We Fell,"romance,drama",2021,after we fell,IMDB
The Electric State,"science fiction,adventure,action",2025,the electric state,IMDB
Megamind,"animation,action,comedy,family,science fiction",2010,megamind,IMDB
V for Vendetta,"action,thriller,science fiction",2006,v for vendetta,IMDB
Paddington in Peru,"family,comedy,adventure",2024,paddington in peru,IMDB
20th Century Girl,"romance,drama",2022,20th century girl,IMDB
Jewel Thief - The Heist Begins,"action,thriller",2025,jewel thief  the heist begins,IMDB
Godzilla Minus One,"science fiction,horror,action",2023,godzilla minus one,IMDB
Now You See Me,"thriller,crime",2013,now you see me,IMDB
The Gray Man,"action,thriller",2022,the gray man,IMDB
Dick Johnson Is Dead,documentaries,2020,dick johnson is dead,Netflix
Blood & Water,"international tv shows, tv dramas, tv mysteries",2021,blood  water,Netflix
Ganglands,"crime tv shows, international tv shows, tv action & adventure",2021,ganglands,Netflix
Jailbirds New Orleans,"docuseries, reality tv",2021,jailbirds new orleans,Netflix
Kota Factory,"international tv shows, romantic tv shows, tv comedies",2021,kota factory,Netflix
Midnight Mass,"tv dramas, tv horror, tv mysteries",2021,midnight mass,Netflix
My Little Pony: A New Generation,children & family movies,2021,my little pony a new generation,Netflix
Sankofa,"dramas, independent movies, international movies",1993,sankofa,Netflix
The Great British Baking Show,"british tv shows, reality tv",2021,the great british baking show,Netflix
The Starling,"comedies, dramas",2021,the starling,Netflix
"Vendetta: Truth, Lies and The Mafia","crime tv shows, docuseries, international tv shows",2021,vendetta truth lies and the mafia,Netflix
Bangkok Breaking,"crime tv shows, international tv shows, tv action & adventure",2021,bangkok breaking,Netflix
Je Suis Karl,"dramas, international movies",2021,je suis karl,Netflix
Confessions of an Invisible Girl,"children & family movies, comedies",2021,confessions of an invisible girl,Netflix
Crime Stories: India Detectives,"british tv shows, crime tv shows, docuseries",2021,crime stories india detectives,Netflix
Dear White People,"tv comedies, tv dramas",2021,dear white people,Netflix
Europe's Most Dangerous Man: Otto Skorzeny in Spain,"documentaries, international movies",2020,europes most dangerous man otto skorzeny in spain,Netflix
Falsa identidad,"crime tv shows, spanish-language tv shows, tv dramas",2020,falsa identidad,Netflix
Intrusion,thrillers,2021,intrusion,Netflix
Jaguar,"international tv shows, spanish-language tv shows, tv action & adventure",2021,jaguar,Netflix
Monsters Inside: The 24 Faces of Billy Milligan,"crime tv shows, docuseries, international tv shows",2021,monsters inside the 24 faces of billy milligan,Netflix
Resurrection: Ertugrul,"international tv shows, tv action & adventure, tv dramas",2018,resurrection ertugrul,Netflix
Avvai Shanmughi,"comedies, international movies",1996,avvai shanmughi,Netflix
Go! Go! Cory Carson: Chrissy Takes the Wheel,children & family movies,2021,go go cory carson chrissy takes the wheel,Netflix
Jeans,"comedies, international movies, romantic movies",1998,jeans,Netflix
Love on the Spectrum,"docuseries, international tv shows, reality tv",2021,love on the spectrum,Netflix
Minsara Kanavu,"comedies, international movies, music & musicals",1997,minsara kanavu,Netflix
Grown Ups,comedies,2010,grown ups,Netflix
Dark Skies,"horror movies, sci-fi & fantasy",2013,dark skies,Netflix
Paranoia,thrillers,2013,paranoia,Netflix
Ankahi Kahaniya,"dramas, independent movies, international movies",2021,ankahi kahaniya,Netflix
Chicago Party Aunt,tv comedies,2021,chicago party aunt,Netflix
Sex Education,"british tv shows, international tv shows, tv comedies",2020,sex education,Netflix
Squid Game,"international tv shows, tv dramas, tv thrillers",2021,squid game,Netflix
Tayo and Little Wizards,kids' tv,2020,tayo and little wizards,Netflix
The Father Who Moves Mountains,"dramas, international movies, thrillers",2021,the father who moves mountains,Netflix
The Stronghold,"action & adventure, dramas, international movies",2021,the stronghold,Netflix
Angry Birds,"kids' tv, tv comedies",2018,angry birds,Netflix
Birth of the Dragon,"action & adventure, dramas",2017,birth of the dragon,Netflix
Chhota Bheem,kids' tv,2021,chhota bheem,Netflix
He-Man and the Masters of the Universe,"kids' tv, tv sci-fi & fantasy",2021,heman and the masters of the universe,Netflix
Jaws,"action & adventure, classic movies, dramas",1975,jaws,Netflix
Jaws 2,"dramas, horror movies, thrillers",1978,jaws 2,Netflix
Jaws 3,"action & adventure, horror movies, thrillers",1983,jaws 3,Netflix
Jaws: The Revenge,"action & adventure, horror movies, thrillers",1987,jaws the revenge,Netflix
My Heroes Were Cowboys,documentaries,2021,my heroes were cowboys,Netflix
Safe House,action & adventure,2012,safe house,Netflix
The Smart Money Woman,"international tv shows, romantic tv shows, tv comedies",2020,the smart money woman,Netflix
Training Day,"dramas, thrillers",2001,training day,Netflix
Castle and Castle,"international tv shows, tv dramas",2021,castle and castle,Netflix
Dharmakshetra,"international tv shows, tv dramas, tv sci-fi & fantasy",2014,dharmakshetra,Netflix
InuYasha the Movie 2: The Castle Beyond the Looking Glass,"action & adventure, anime features, international movies",2002,inuyasha the movie 2 the castle beyond the looking glass,Netflix
InuYasha the Movie 3: Swords of an Honorable Ruler,"action & adventure, anime features, international movies",2003,inuyasha the movie 3 swords of an honorable ruler,Netflix
InuYasha the Movie 4: Fire on the Mystic Island,"action & adventure, anime features, international movies",2004,inuyasha the movie 4 fire on the mystic island,Netflix
