title,genres,year,clean_title,source,language
#FriendButMarried 2,biography,2020,friendbutmarried 2,Indo_Lama,Indo
4 Mantan,thriller,2020,4 mantan,Indo_Lama,Indo
Aku Tahu Kapan Kamu Mati,horror,2020,aku tahu kapan kamu mati,Indo_Lama,Indo
Anak Garuda,adventure,2020,anak garuda,Indo_Lama,Indo
Dignitate,drama,2020,dignitate,Indo_Lama,Indo
Guru-Guru Gokil,comedy,2020,guruguru gokil,Indo_Lama,Indo
Hunter in the Blue Side of Manchester,biography,2020,hunter in the blue side of manchester,Indo_Lama,English
Janin,horror,2020,janin,Indo_Lama,Indo
Mangkujiwo,horror,2020,mangkujiwo,Indo_Lama,Indo
Mariposa,drama,2020,mariposa,Indo_Lama,Indo
May the Devil Take You: Chapter Two,horror,2020,may the devil take you chapter two,Indo_Lama,English
Milea,drama,2020,milea,Indo_Lama,Indo
Nanti Kita Cerita Tentang Hari Ini,drama,2020,nanti kita cerita tentang hari ini,Indo_Lama,Indo
Nikah Yuk,drama,2020,nikah yuk,Indo_Lama,Indo
Rasuk 2,horror,2020,rasuk 2,Indo_Lama,Indo
Si Doel the Movie 3,drama,2020,si doel the movie 3,Indo_Lama,English
Surat dari Kematian,horror,2020,surat dari kematian,Indo_Lama,Indo
Temen Kondangan,comedy,2020,temen kondangan,Indo_Lama,Indo
Titus: Mystery of the Enygma,animation,2020,titus mystery of the enygma,Indo_Lama,English
Toko Barang Mantan,comedy,2020,toko barang mantan,Indo_Lama,Indo
#Malam Jumat: The Movie,horror,2019,malam jumat the movie,Indo_Lama,English
#MoveOnAja,comedy,2019,moveonaja,Indo_Lama,Indo
27 Steps of May,drama,2019,27 steps of may,Indo_Lama,English
99 Nama Cinta,drama,2019,99 nama cinta,Indo_Lama,Indo
Abracadabra,comedy,2019,abracadabra,Indo_Lama,Indo
After Met You,drama,2019,after met you,Indo_Lama,Indo
Ajari Aku Islam,drama,2019,ajari aku islam,Indo_Lama,Indo
Ambu,drama,2019,ambu,Indo_Lama,Indo
Anak Hoki,drama,2019,anak hoki,Indo_Lama,Indo
Anak Muda Palsu,comedy,2019,anak muda palsu,Indo_Lama,Indo
Antologi Rasa,drama,2019,antologi rasa,Indo_Lama,Indo
Arwah Noni Belanda,horror,2019,arwah noni belanda,Indo_Lama,Indo
Bebas,comedy,2019,bebas,Indo_Lama,Indo
Bike Boyz,comedy,2019,bike boyz,Indo_Lama,Indo
Bridezilla,comedy,2019,bridezilla,Indo_Lama,Indo
Bumi Itu Bulat,drama,2019,bumi itu bulat,Indo_Lama,Indo
Calon Bini,comedy,2019,calon bini,Indo_Lama,Indo
Danur 3: Sunyaruri,horror,2019,danur 3 sunyaruri,Indo_Lama,Indo
Darah Daging,action,2019,darah daging,Indo_Lama,Indo
Death Whisper,horror,2019,death whisper,Indo_Lama,Indo
Dilan 1991,drama,2019,dilan 1991,Indo_Lama,Indo
Doremi & You,drama,2019,doremi  you,Indo_Lama,Indo
DreadOut,adventure,2019,dreadout,Indo_Lama,Indo
Dua Garis Biru,drama,2019,dua garis biru,Indo_Lama,Indo
Eggnoid,drama,2019,eggnoid,Indo_Lama,Indo
Ghost Writer,comedy,2019,ghost writer,Indo_Lama,Indo
Gundala,action,2019,gundala,Indo_Lama,Indo
Habibie & Ainun 3,biography,2019,habibie  ainun 3,Indo_Lama,Indo
Hayya: The Power of Love 2,drama,2019,hayya the power of love 2,Indo_Lama,English
Hiruk-Pikuk Si Al-Kisah,drama,2019,hirukpikuk si alkisah,Indo_Lama,Indo
Hit & Run,action,2019,hit  run,Indo_Lama,Indo
Homecoming,drama,2019,homecoming,Indo_Lama,Indo
Horas Amang: Tiga Bulan Untuk Selamanya,comedy,2019,horas amang tiga bulan untuk selamanya,Indo_Lama,Indo
Humba Dreams,drama,2019,humba dreams,Indo_Lama,Indo
Ikut Aku ke Neraka,horror,2019,ikut aku ke neraka,Indo_Lama,Indo
Imperfect,comedy,2019,imperfect,Indo_Lama,Indo
Impetigore,drama,2019,impetigore,Indo_Lama,Indo
Iqro: My Universe,drama,2019,iqro my universe,Indo_Lama,Indo
Jeritan Malam,horror,2019,jeritan malam,Indo_Lama,Indo
"Kajeng Kliwon, Nightmare in Bali",horror,2019,kajeng kliwon nightmare in bali,Indo_Lama,English
Kapal Goyang Kapten,comedy,2019,kapal goyang kapten,Indo_Lama,Indo
Kelam,horror,2019,kelam,Indo_Lama,Indo
Kembalinya Anak Iblis,horror,2019,kembalinya anak iblis,Indo_Lama,Indo
Koboy Kampus,comedy,2019,koboy kampus,Indo_Lama,Indo
Koki-Koki Cilik 2,drama,2019,kokikoki cilik 2,Indo_Lama,Indo
Kuambil Lagi Hatiku,drama,2019,kuambil lagi hatiku,Indo_Lama,Indo
Kuntilanak 2,horror,2019,kuntilanak 2,Indo_Lama,Indo
