movieId,title,genres,clean_title
1,Toy Story (1995),Animation|Children's|Comedy,toy story
2,Jumanji (1995),Adventure|Children's|Fantasy,jumanji
3,Grumpier Old Men (1995),Comedy|Romance,grumpier old men
4,Waiting to Exhale (1995),Comedy|Drama,waiting to exhale
5,Father of the Bride Part II (1995),Comedy,father of the bride part ii
6,Heat (1995),Action|Crime|Thriller,heat
7,Sabrina (1995),Comedy|Romance,sabrina
8,Tom and Huck (1995),Adventure|Children's,tom and huck
9,Sudden Death (1995),Action,sudden death
10,GoldenEye (1995),Action|Adventure|Thriller,goldeneye
11,"American President, The (1995)",Comedy|Drama|Romance,american president the
12,Dracula: Dead and Loving It (1995),Comedy|Horror,dracula dead and loving it
13,Balto (1995),Animation|Children's,balto
14,Nixon (1995),Drama,nixon
15,Cutthroat Island (1995),Action|Adventure|Romance,cutthroat island
16,Casino (1995),Drama|Thriller,casino
17,Sense and Sensibility (1995),Drama|Romance,sense and sensibility
18,Four Rooms (1995),Thriller,four rooms
19,Ace Ventura: When Nature Calls (1995),Comedy,ace ventura when nature calls
20,Money Train (1995),Action,money train
21,Get Shorty (1995),Action|Comedy|Drama,get shorty
22,Copycat (1995),Crime|Drama|Thriller,copycat
23,Assassins (1995),Thriller,assassins
24,Powder (1995),Drama|Sci-Fi,powder
25,Leaving Las Vegas (1995),Drama|Romance,leaving las vegas
26,Othello (1995),Drama,othello
27,Now and Then (1995),Drama,now and then
28,Persuasion (1995),Romance,persuasion
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,city of lost children the
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,shanghai triad yao a yao yao dao waipo qiao
31,Dangerous Minds (1995),Drama,dangerous minds
32,Twelve Monkeys (1995),Drama|Sci-Fi,twelve monkeys
33,Wings of Courage (1995),Adventure|Romance,wings of courage
34,Babe (1995),Children's|Comedy|Drama,babe
35,Carrington (1995),Drama|Romance,carrington
36,Dead Man Walking (1995),Drama,dead man walking
37,Across the Sea of Time (1995),Documentary,across the sea of time
38,It Takes Two (1995),Comedy,it takes two
39,Clueless (1995),Comedy|Romance,clueless
40,"Cry, the Beloved Country (1995)",Drama,cry the beloved country
41,Richard III (1995),Drama|War,richard iii
42,Dead Presidents (1995),Action|Crime|Drama,dead presidents
43,Restoration (1995),Drama,restoration
44,Mortal Kombat (1995),Action|Adventure,mortal kombat
45,To Die For (1995),Comedy|Drama,to die for
46,How to Make an American Quilt (1995),Drama|Romance,how to make an american quilt
47,Seven (Se7en) (1995),Crime|Thriller,seven se7en
48,Pocahontas (1995),Animation|Children's|Musical|Romance,pocahontas
49,When Night Is Falling (1995),Drama|Romance,when night is falling
50,"Usual Suspects, The (1995)",Crime|Thriller,usual suspects the
51,Guardian Angel (1994),Action|Drama|Thriller,guardian angel
52,Mighty Aphrodite (1995),Comedy,mighty aphrodite
53,Lamerica (1994),Drama,lamerica
54,"Big Green, The (1995)",Children's|Comedy,big green the
55,Georgia (1995),Drama,georgia
56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,kids of the round table
57,Home for the Holidays (1995),Drama,home for the holidays
58,"Postino, Il (The Postman) (1994)",Drama|Romance,postino il the postman
